matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
22,5,10,0.6,6,0,296,1.4102,0.161531077398
23,5,10,0.6,6,0,32,0.9038,0.0611333922019
23,5,10,1.0,10,0,300,0.5463,0.0503215896918
22,5,10,0.8,8,0,198,0.9129,0.141976537866
24,5,10,0.6,6,0,145,0.8731,0.118975877032
23,5,10,0.8,8,0,162,0.6477,0.0537522622477
24,5,10,1.0,10,0,178,0.2082,0.0554952182839
25,5,10,0.6,6,0,267,1.3944,0.171265055862
24,5,10,0.8,8,0,230,0.4426,0.0815724762137
25,5,10,1.0,10,0,300,0.8197,0.126366841122
26,5,10,0.6,6,0,212,1.0639,0.0889191858666
25,5,10,0.8,8,0,300,1.1025,0.164251270804
26,5,10,1.0,10,0,300,0.6686,0.0712224540922
27,5,10,0.6,6,0,291,1.6331,0.347364974489
26,5,10,0.8,8,0,300,0.8097,0.0642651892018
27,5,10,1.0,10,0,300,0.9862,0.221751493321
28,5,10,0.6,6,0,300,2.0262,0.198219648843
27,5,10,0.8,8,0,300,1.1103,0.245225084204
28,5,10,1.0,9,0,300,1.1438,0.130314954551
29,5,10,0.6,6,0,300,0.692,0.114701865568
28,5,10,0.8,8,0,300,1.8669,0.160136214331
29,5,10,1.0,10,0,300,0.177,0.0434805689328
29,5,10,0.8,8,0,300,0.4024,0.0783063429623
30,5,10,0.4,4,0,45,2.2877,0.268929377762
30,5,10,0.6,6,0,192,1.4699,0.205312288197
30,5,10,1.0,10,0,300,0.9106,0.146083115291
30,5,10,0.8,8,0,300,1.1188,0.157471327844
31,5,10,0.4,4,0,51,1.773,0.308837211922
32,5,10,0.4,4,0,8,0.8951,0.0665788600896
31,5,10,0.6,6,0,300,1.0789,0.156632709512
31,5,10,1.0,10,0,300,0.474,0.123732239594
31,5,10,0.8,8,0,300,0.6315,0.134495309921
33,5,10,0.4,4,0,93,1.5986,0.175900276954
32,5,10,0.6,6,0,72,0.3201,0.0343462115569
32,5,10,1.0,10,0,300,0.1034,0.015025434835
32,5,10,0.8,8,0,144,0.1034,0.015025434835
34,5,10,0.4,4,0,46,1.9091,0.147122280296
35,5,10,0.4,4,0,42,2.1718,0.200003083593
33,5,10,0.6,6,0,300,1.0295,0.125169158668
33,5,10,1.0,10,0,300,0.4024,0.0671404049833
33,5,10,0.8,8,0,300,0.6897,0.0902293708349
36,5,10,0.4,4,0,91,1.8911,0.201372430129
34,5,10,0.6,6,0,300,1.4552,0.130433548334
34,5,10,1.0,10,0,300,1.0836,0.116827661179
34,5,10,0.8,8,0,300,1.1184,0.117186291504
37,5,10,0.4,4,0,25,1.5361,0.119319738727
38,5,10,0.4,4,0,25,1.1606,0.101993194672
35,5,10,0.6,6,0,300,1.2348,0.147286147209
35,5,10,1.0,10,0,300,0.854,0.130135126012
35,5,10,0.8,8,0,300,0.7463,0.0919173624099
39,5,10,0.4,4,0,54,2.5483,0.234553920853
40,5,10,0.4,4,0,41,2.3347,0.210238835968
36,5,10,0.6,6,0,300,1.2205,0.16707210022
36,5,10,1.0,10,0,300,0.8666,0.158085837513
36,5,10,0.8,8,0,300,1.0929,0.161323467355
41,5,10,0.4,4,0,33,1.3188,0.130818028774
37,5,10,0.6,6,0,83,0.6507,0.0647704427915
42,5,10,0.4,4,0,17,1.6624,0.124840042845
37,5,10,1.0,10,0,300,0.2046,0.0377879011805
37,5,10,0.8,8,0,300,0.4409,0.0534505180148
43,5,10,0.4,4,0,86,2.022,0.258296397895
38,5,10,0.6,6,0,300,0.7647,0.0825878912887
44,5,10,0.4,4,0,14,2.7708,0.201591324989
38,5,10,1.0,10,0,300,0.4167,0.0683767985118
38,5,10,0.8,8,0,300,0.4286,0.055075883252
45,5,10,0.4,4,0,39,1.4757,0.126667709753
39,5,10,0.6,6,0,300,1.6304,0.168116603496
46,5,10,0.4,4,0,95,1.534,0.187617404712
39,5,10,1.0,10,0,300,1.1539,0.161974058574
39,5,10,0.8,8,0,300,1.3461,0.17610914292
47,5,10,0.4,4,0,64,1.2558,0.169156461086
40,5,10,0.6,6,0,300,1.9578,0.190495809901
48,5,10,0.4,4,0,15,0.9091,0.0720992527901
40,5,10,1.0,10,0,300,1.0471,0.145167848415
40,5,10,0.8,8,0,300,1.4735,0.1475175561
49,5,10,0.4,4,0,61,1.7363,0.138505684278
41,5,10,0.6,6,0,165,0.7917,0.0926211127153
41,5,10,1.0,10,0,300,0.2329,0.0464892534149
50,5,10,0.4,4,0,47,1.3275,0.135001426453
42,5,10,0.6,6,0,118,1.1704,0.106355145466
41,5,10,0.8,8,0,300,0.4459,0.0633571473866
51,5,10,0.4,4,0,54,1.441,0.154651837512
42,5,10,1.0,9,0,300,0.6188,0.0695292265764
43,5,10,0.6,6,0,300,1.0781,0.15443413452
42,5,10,0.8,8,0,300,0.7664,0.076128650162
52,5,10,0.4,4,0,60,3.3554,0.285771303264
43,5,10,1.0,10,0,300,0.4184,0.0794163031713
53,5,10,0.4,4,0,67,1.5972,0.133203593545
44,5,10,0.6,6,0,250,2.0986,0.165110900521
43,5,10,0.8,8,0,300,0.8521,0.127725665896
54,5,10,0.4,4,0,51,1.6989,0.199419036668
44,5,10,1.0,10,0,300,1.354,0.135247758256
45,5,10,0.6,6,0,300,0.9213,0.0861109190332
55,5,10,0.4,4,0,128,2.3889,0.183268819829
44,5,10,0.8,8,0,300,1.6856,0.166675732779
56,5,10,0.4,4,0,70,1.497,0.141345283122
45,5,10,1.0,10,0,300,0.3773,0.0600053708435
46,5,10,0.6,6,0,300,0.7304,0.0944779067749
57,5,10,0.4,4,0,19,1.6539,0.133592771718
45,5,10,0.8,8,0,300,0.6012,0.0686875081709
46,5,10,1.0,10,0,300,0.2978,0.071552085881
58,5,10,0.4,4,0,36,1.1239,0.103027322667
47,5,10,0.6,6,0,300,0.861,0.0951598604673
59,5,10,0.4,4,0,19,1.6877,0.143802953604
46,5,10,0.8,8,0,300,0.5054,0.0908739749642
47,5,10,1.0,10,0,300,0.6893,0.0937166885722
48,5,10,0.6,6,0,120,0.495,0.0434478900257
60,5,10,0.4,4,0,62,1.6108,0.184210522266
47,5,10,0.8,8,0,300,0.6029,0.0745692238525
48,5,10,1.0,9,0,300,0.0849,0.0121696210258
61,5,10,0.4,4,0,52,1.7871,0.165217848414
49,5,10,0.6,6,0,300,1.2167,0.117377371575
62,5,10,0.4,4,0,15,1.7726,0.169588789325
48,5,10,0.8,8,0,300,0.2077,0.0249700271547
49,5,10,1.0,10,0,300,0.8143,0.0919192837632
63,5,10,0.4,4,0,27,1.5774,0.123604294683
50,5,10,0.6,6,0,300,0.8733,0.104448757599
64,5,10,0.4,4,0,51,2.07,0.16596254427
49,5,10,0.8,8,0,300,1.0005,0.098428993519
50,5,10,1.0,10,0,300,0.4337,0.0661673820767
65,5,10,0.4,4,0,19,1.3767,0.155798000899
51,5,10,0.6,6,0,300,0.9878,0.134169245672
50,5,10,0.8,8,0,300,0.5952,0.08794633799
66,5,10,0.4,4,0,77,2.2668,0.192169122915
51,5,10,1.0,10,0,300,0.6131,0.109103071536
67,5,10,0.4,4,0,12,1.1853,0.113718182006
52,5,10,0.6,6,0,300,2.8806,0.227674563003
51,5,10,0.8,8,0,300,0.7223,0.119498809191
68,5,10,0.4,4,0,43,1.5219,0.146299585754
52,5,10,1.0,10,0,300,2.1058,0.238511994361
53,5,10,0.6,6,0,300,1.0247,0.10399965274
69,5,10,0.4,4,0,26,2.2851,0.292602053848
53,5,10,1.0,10,0,300,0.5367,0.0787874784621
52,5,10,0.8,8,0,300,2.4864,0.227813279651
70,5,10,0.4,4,0,38,1.4315,0.156102577842
54,5,10,0.6,6,0,300,1.1151,0.152407019158
71,5,10,0.4,4,0,25,1.2754,0.125927423754
54,5,10,1.0,10,0,300,0.6695,0.139766982847
53,5,10,0.8,8,0,300,0.6085,0.0841000991011
72,5,10,0.4,4,0,28,1.6906,0.145350813589
55,5,10,0.6,6,0,300,1.8083,0.164294342642
73,5,10,0.4,4,0,46,2.0624,0.21295098423
