name,Phylogeny model,k,Accuracy
64,Perfect,0.8,0.0459049864813
65,Perfect,0.8,1.66078248002e-15
66,Perfect,0.8,4.91579662602e-17
67,Perfect,0.8,1.09570937169e-15
68,Perfect,0.8,0.00119904424151
69,Perfect,0.8,1.73568371028e-17
70,Perfect,0.8,6.57202481265e-17
71,Perfect,0.8,0.0
72,Perfect,0.8,0.0834878113043
73,Perfect,0.8,7.93487409516e-16
74,Perfect,0.8,0.0112193809032
75,Perfect,0.8,8.09383822577e-17
76,Perfect,0.8,0.0374419166971
77,Perfect,0.8,0.123100802901
78,Perfect,0.8,0.0702812997847
79,Perfect,0.8,1.14379198371e-16
80,Perfect,0.8,8.26320349492e-18
81,Perfect,0.8,0.0856684397167
82,Perfect,0.8,0.13601343695
83,Perfect,0.8,0.0
84,Perfect,0.8,0.0535057126021
85,Perfect,0.8,6.25576786286e-17
86,Perfect,0.8,1.71930014512e-16
87,Perfect,0.8,0.129673584315
88,Perfect,0.8,9.61804519838e-17
89,Perfect,0.8,0.0526277002989
90,Perfect,0.8,0.237944341685
91,Perfect,0.8,0.0679136854556
92,Perfect,0.8,0.048727041155
93,Perfect,0.8,0.0380385861585
94,Perfect,0.8,2.06407128946e-16
95,Perfect,0.8,1.48422900734e-16
96,Perfect,0.8,4.26590260082e-16
97,Perfect,0.8,0.0494929272824
98,Perfect,0.8,0.0469295758467
99,Perfect,0.8,0.11083793744
0,Perfect,0.6,0.10918216276
1,Perfect,0.6,8.72959393943e-17
2,Perfect,0.6,0.0106110098894
3,Perfect,0.6,0.0763626061484
4,Perfect,0.6,0.0737673036049
5,Perfect,0.6,0.0416741948034
6,Perfect,0.6,1.16520758313e-16
7,Perfect,0.6,0.158055138471
8,Perfect,0.6,6.41766338105e-17
9,Perfect,0.6,5.98859559876e-17
10,Perfect,0.6,1.47957422225e-15
11,Perfect,0.6,0.142222397807
12,Perfect,0.6,0.0
13,Perfect,0.6,0.0197286188807
14,Perfect,0.6,6.67442627315e-16
15,Perfect,0.6,0.117497674351
16,Perfect,0.6,0.0453629926299
17,Perfect,0.6,0.188393024978
18,Perfect,0.6,0.0728997929554
19,Perfect,0.6,0.113490414209
20,Perfect,0.6,0.013535035157
21,Perfect,0.6,6.30710143091e-16
22,Perfect,0.6,0.265893707732
23,Perfect,0.6,3.25005119255e-17
24,Perfect,0.6,0.0236633415187
25,Perfect,0.6,0.0784482305732
26,Perfect,0.6,0.131958500865
27,Perfect,0.6,0.182357106741
28,Perfect,0.6,0.0460181533238
29,Perfect,0.6,1.82518350267e-16
30,Perfect,0.6,2.89801488323e-16
31,Perfect,0.6,0.115852514119
32,Perfect,0.6,0.220060257336
33,Perfect,0.6,1.36478167699e-16
34,Perfect,0.6,0.076050310858
35,Perfect,0.6,0.00254394834047
36,Perfect,0.6,8.33042990506e-16
37,Perfect,0.6,9.26472976403e-17
38,Perfect,0.6,1.71559775e-16
39,Perfect,0.6,0.154708244818
40,Perfect,0.6,0.127588287594
41,Perfect,0.6,9.36618556662e-16
42,Perfect,0.6,0.134313173131
43,Perfect,0.6,5.37013056917e-17
44,Perfect,0.6,0.158898944922
45,Perfect,0.6,7.27677480893e-17
46,Perfect,0.6,0.117102584419
47,Perfect,0.6,0.0538292569304
48,Perfect,0.6,0.0411083356121
49,Perfect,0.6,0.19725145713
50,Perfect,0.6,0.10720937809
51,Perfect,0.6,0.0
52,Perfect,0.6,0.0116137081776
53,Perfect,0.6,0.0148864351737
54,Perfect,0.6,0.090686696881
55,Perfect,0.6,0.0504323937646
56,Perfect,0.6,0.0540205084151
57,Perfect,0.6,0.198950884727
58,Perfect,0.6,1.03400008017e-15
59,Perfect,0.6,0.159468695646
60,Perfect,0.6,6.69717176812e-16
61,Perfect,0.6,0.0525480940928
62,Perfect,0.6,0.0
63,Perfect,0.6,5.65756883228e-17
64,Perfect,0.6,0.153235971826
65,Perfect,0.6,1.01201716716e-15
66,Perfect,0.6,0.0
67,Perfect,0.6,9.21523618854e-16
68,Perfect,0.6,0.0472564269599
69,Perfect,0.6,1.77005702163e-16
70,Perfect,0.6,7.43539729784e-17
71,Perfect,0.6,2.10384530253e-16
72,Perfect,0.6,0.190771295972
73,Perfect,0.6,0.077732903104
74,Perfect,0.6,0.120553790108
75,Perfect,0.6,1.4237656438e-16
76,Perfect,0.6,0.120958618382
77,Perfect,0.6,0.127222777812
78,Perfect,0.6,0.130645025111
79,Perfect,0.6,9.60977481035e-17
80,Perfect,0.6,1.41201683218e-16
81,Perfect,0.6,0.112840081587
82,Perfect,0.6,0.152321018853
83,Perfect,0.6,9.62714972513e-18
84,Perfect,0.6,0.0535057126021
85,Perfect,0.6,0.098106783636
86,Perfect,0.6,1.79941962141e-16
87,Perfect,0.6,0.129673584315
88,Perfect,0.6,2.26050858572e-16
89,Perfect,0.6,0.12374791759
90,Perfect,0.6,0.243436959646
91,Perfect,0.6,0.109895772969
92,Perfect,0.6,0.0494646929043
93,Perfect,0.6,0.0380385861585
94,Perfect,0.6,1.72922289397e-16
95,Perfect,0.6,1.66931709883e-16
96,Perfect,0.6,7.98322974521e-17
97,Perfect,0.6,0.0494929272824
98,Perfect,0.6,0.0469295758467
99,Perfect,0.6,0.133161431204
0,Perfect,0.4,0.114667717986
1,Perfect,0.4,0.122639302476
2,Perfect,0.4,0.14199407432
3,Perfect,0.4,0.212638292216
4,Perfect,0.4,0.17694176342
5,Perfect,0.4,0.22920109558
6,Perfect,0.4,2.6384941576e-15
7,Perfect,0.4,0.251066879832
8,Perfect,0.4,0.198284139721
9,Perfect,0.4,0.161256586907
10,Perfect,0.4,0.161558494319
11,Perfect,0.4,0.187627135571
12,Perfect,0.4,0.235379842375
13,Perfect,0.4,0.0805512962683
14,Perfect,0.4,1.09672014846e-16
15,Perfect,0.4,0.1234273956
16,Perfect,0.4,0.097640479817
17,Perfect,0.4,0.218377847582
18,Perfect,0.4,0.131930432065
19,Perfect,0.4,0.187886359297
20,Perfect,0.4,0.143424855517
21,Perfect,0.4,1.27396164132e-16
22,Perfect,0.4,0.295550336427
23,Perfect,0.4,0.164022660587
24,Perfect,0.4,0.211719869064
25,Perfect,0.4,0.169930481645
26,Perfect,0.4,0.303740577527
27,Perfect,0.4,0.226267685989
28,Perfect,0.4,0.148777169615
29,Perfect,0.4,0.125746539325
30,Perfect,0.4,0.203037216362
31,Perfect,0.4,0.353642962946
32,Perfect,0.4,0.300503984024
33,Perfect,0.4,0.136382676107
34,Perfect,0.4,0.136184978564
35,Perfect,0.4,0.116850507896
36,Perfect,0.4,9.81750579344e-17
37,Perfect,0.4,0.219920692798
38,Perfect,0.4,0.269828449534
39,Perfect,0.4,0.316267121126
40,Perfect,0.4,0.197151226122
41,Perfect,0.4,0.146070545959
42,Perfect,0.4,0.251600681969
43,Perfect,0.4,0.117033542681
44,Perfect,0.4,0.216092393807
45,Perfect,0.4,0.0972337172525
46,Perfect,0.4,0.246008175243
47,Perfect,0.4,0.156727535559
48,Perfect,0.4,0.0411083356121
49,Perfect,0.4,0.282564068562
50,Perfect,0.4,0.186001754986
51,Perfect,0.4,0.184147541584
52,Perfect,0.4,0.178499649218
53,Perfect,0.4,0.0148864351737
54,Perfect,0.4,0.194425681071
55,Perfect,0.4,0.12117461222
56,Perfect,0.4,0.0835115412361
57,Perfect,0.4,0.322172208265
58,Perfect,0.4,1.93518005496e-15
59,Perfect,0.4,0.276926478659
60,Perfect,0.4,6.06333442402e-17
61,Perfect,0.4,0.153827298959
62,Perfect,0.4,0.157831881398
63,Perfect,0.4,0.121399671755
64,Perfect,0.4,0.268372993518
65,Perfect,0.4,0.165939067525
66,Perfect,0.4,1.2041193413e-16
67,Perfect,0.4,0.0780214865843
68,Perfect,0.4,0.213996904677
69,Perfect,0.4,0.114830530244
70,Perfect,0.4,0.218040357232
71,Perfect,0.4,0.136088008547
72,Perfect,0.4,0.273605943375
73,Perfect,0.4,0.197443918399
74,Perfect,0.4,0.237920427439
75,Perfect,0.4,0.0266612172305
76,Perfect,0.4,0.25400672156
77,Perfect,0.4,0.261018812415
78,Perfect,0.4,0.290816442429
79,Perfect,0.4,0.201746863844
80,Perfect,0.4,0.0964560524976
81,Perfect,0.4,0.189887514486
82,Perfect,0.4,0.198612968988
83,Perfect,0.4,0.22976639894
84,Perfect,0.4,0.193529648635
85,Perfect,0.4,0.228682544135
86,Perfect,0.4,0.257089199092
87,Perfect,0.4,0.134673731523
88,Perfect,0.4,0.125747281317
89,Perfect,0.4,0.291201598569
90,Perfect,0.4,0.29892115935
91,Perfect,0.4,0.204633018558
92,Perfect,0.4,0.147961456877
93,Perfect,0.4,0.186284416409
94,Perfect,0.4,0.174908143491
95,Perfect,0.4,0.177747154003
96,Perfect,0.4,0.0484473756112
97,Perfect,0.4,0.151137743401
98,Perfect,0.4,0.149454770357
99,Perfect,0.4,0.223179702228
0,Persistent,1.0,4.39627075712e-17
1,Persistent,1.0,8.08203353198e-17
2,Persistent,1.0,1.51294692601e-15
3,Persistent,1.0,8.04373039115e-17
4,Persistent,1.0,0.0
5,Persistent,1.0,4.49360806055e-17
6,Persistent,1.0,1.08086122354e-16
7,Persistent,1.0,3.41221755238e-16
8,Persistent,1.0,1.1665941973e-16
9,Persistent,1.0,2.99429779938e-17
10,Persistent,1.0,3.25741482287e-15
11,Persistent,1.0,9.3318919701e-17
12,Persistent,1.0,1.99560649042e-16
13,Persistent,1.0,1.07153424247e-15
14,Persistent,1.0,1.19544918408e-15
15,Persistent,1.0,1.27324935983e-16
16,Persistent,1.0,3.90753286422e-17
17,Persistent,1.0,0.00311446384944
18,Persistent,1.0,5.15056709227e-17
19,Persistent,1.0,6.06479374059e-17
20,Persistent,1.0,7.53320957439e-17
21,Persistent,1.0,1.31238114879e-16
22,Persistent,1.0,5.42512315683e-17
23,Persistent,1.0,5.1387821403e-17
24,Persistent,1.0,1.66468648009e-15
25,Persistent,1.0,4.59365819708e-17
26,Persistent,1.0,3.17598382387e-17
27,Persistent,1.0,5.66062879415e-16
28,Persistent,1.0,2.57393706879e-16
29,Persistent,1.0,4.33681165478e-16
30,Persistent,1.0,1.01418890973e-15
31,Persistent,1.0,1.51623822312e-15
32,Persistent,1.0,2.04755586663e-16
33,Persistent,1.0,8.05276875387e-16
34,Persistent,1.0,1.36477177224e-16
35,Persistent,1.0,7.08620463971e-16
36,Persistent,1.0,1.41206657114e-15
37,Persistent,1.0,3.4408342533e-17
38,Persistent,1.0,1.22250276858e-16
39,Persistent,1.0,1.40647948e-16
40,Persistent,1.0,6.75384250396e-17
41,Persistent,1.0,1.63503773085e-16
42,Persistent,1.0,7.76582077622e-17
43,Persistent,1.0,1.23920926363e-16
44,Persistent,1.0,7.21918925938e-17
45,Persistent,1.0,1.48536543792e-17
46,Persistent,1.0,1.8009994454e-16
47,Persistent,1.0,4.89008169343e-17
48,Persistent,1.0,0.0
49,Persistent,1.0,6.13200545449e-17
50,Persistent,1.0,1.07762923585e-16
51,Persistent,1.0,1.99027432185e-16
52,Persistent,1.0,3.77245462728e-17
53,Persistent,1.0,3.67272512987e-17
54,Persistent,1.0,8.64776392211e-17
55,Persistent,1.0,6.86918163703e-17
56,Persistent,1.0,6.54109474424e-16
57,Persistent,1.0,0.00336738335602
58,Persistent,1.0,9.26367077686e-16
59,Persistent,1.0,1.97550019129e-16
60,Persistent,1.0,1.07656205917e-15
