matrix_name,clones,time,accuracy
0,1.0,0,0.928985977192
0,1.0,0,0.361455042883
0,1.0,0,0.349158827795
0,1.0,0,0.284652626549
0,1.0,0,0.27052225397
0,1.0,0,0.224441065758
0,1.0,0,0.225928999519
0,1.0,1,0.144931298129
0,1.0,1,0.10918216276
1,1.0,0,0.696620810447
1,1.0,0,0.645599786647
1,1.0,0,0.61417977541
1,1.0,0,1.36754240702e-15
2,1.0,0,0.36034852258
2,1.0,0,0.288035169068
2,1.0,0,0.138863494299
2,1.0,0,0.0106110098894
3,1.0,0,0.481964696214
3,1.0,0,0.211551825968
3,1.0,0,0.2076346421
3,1.0,0,0.318433817982
3,1.0,0,0.357969161329
3,1.0,0,0.31499204761
3,1.0,0,0.139651508187
3,1.0,1,0.0830374863708
4,1.0,0,0.962906030071
4,1.0,0,0.617058195173
4,1.0,0,0.408274912386
4,1.0,0,0.0737673036049
5,1.0,0,0.992844710777
5,1.0,0,0.930945710305
5,1.0,0,0.434649041511
5,1.0,0,0.330016394745
5,1.0,0,0.227667662228
5,1.0,1,0.138499442592
5,1.0,1,0.160719039394
5,1.0,2,0.0877763276041
5,1.0,2,0.0534378685776
5,1.0,3,0.0425407629849
5,1.0,3,0.0421097080722
5,1.0,4,0.0416741948034
6,1.0,0,0.470518314722
6,1.0,0,0.421381661641
6,1.0,0,1.12852219574e-15
7,1.0,0,0.823366560114
7,1.0,0,0.732399513029
7,1.0,0,0.709681467224
7,1.0,0,0.471615609588
7,1.0,0,0.379450901179
7,1.0,1,0.300555420567
7,1.0,1,0.252531081008
7,1.0,1,0.236101098903
7,1.0,1,0.215288869134
7,1.0,4,0.243523099652
7,1.0,5,0.2086023022
7,1.0,7,0.189838471907
7,1.0,9,0.181701913665
7,1.0,9,0.167118063893
7,1.0,36,0.0966536892148
7,1.0,36,0.0909108836179
7,1.0,43,0.0739338763633
8,1.0,0,0.959290355715
8,1.0,0,0.946931130135
8,1.0,0,0.897151676066
8,1.0,0,0.72229095199
8,1.0,0,0.452565873289
8,1.0,0,0.349019349361
8,1.0,0,0.33774428193
8,1.0,1,0.2317634497
8,1.0,1,0.131388243708
8,1.0,1,0.0210437893302
8,1.0,2,9.05125009314e-17
9,1.0,0,0.52380037706
9,1.0,0,0.451751255652
9,1.0,0,0.435962826921
9,1.0,0,0.346086619839
9,1.0,0,0.293830436683
9,1.0,0,0.240747834327
9,1.0,0,0.140300250781
9,1.0,0,0.0647888863782
9,1.0,0,0.0646264506283
9,1.0,0,0.0045849402742
9,1.0,0,4.49144669907e-17
10,1.0,0,0.640491044356
10,1.0,0,0.523489815596
10,1.0,0,0.516600452968
10,1.0,0,0.422814867487
10,1.0,0,0.369035487275
10,1.0,0,0.0972206721739
10,1.0,0,2.1336044241e-15
11,1.0,0,0.797409044686
11,1.0,0,0.688059173804
11,1.0,0,0.638412962672
11,1.0,0,0.592714134825
11,1.0,0,0.504770743925
11,1.0,0,0.435817993481
11,1.0,0,0.411767277018
11,1.0,1,0.282549230727
11,1.0,1,0.311846060299
11,1.0,1,0.280694052862
11,1.0,1,0.174849774545
11,1.0,1,0.175808585698
11,1.0,2,0.147018253053
11,1.0,2,0.14376898853
11,1.0,3,0.142222397807
12,1.0,0,0.971903457038
12,1.0,0,0.969554747735
12,1.0,0,0.695696189166
12,1.0,0,0.220749379019
12,1.0,0,0.194820732473
12,1.0,0,0.0242000701089
12,1.0,0,2.82221376391e-17
13,1.0,0,0.832390122053
13,1.0,0,0.688871516546
13,1.0,0,0.122374621463
13,1.0,0,0.0197286188807
14,1.0,0,0.335209922098
14,1.0,0,9.55166134885e-16
15,1.0,0,0.978665196758
15,1.0,0,0.971919687803
15,1.0,0,0.967314499922
15,1.0,0,0.43164748416
15,1.0,0,0.388477258403
15,1.0,0,0.12129546909
15,1.0,0,0.117497674351
16,1.0,0,0.679387799721
16,1.0,0,0.540818361077
16,1.0,0,0.688782937353
16,1.0,0,0.0982271249277
16,1.0,0,0.0460126734906
16,1.0,0,0.0211546905111
16,1.0,0,0.00151104932222
16,1.0,1,5.14988638592e-17
17,1.0,0,0.91452560504
17,1.0,0,0.892144618601
17,1.0,0,0.860624013388
17,1.0,0,0.446254147795
17,1.0,1,0.352761790544
17,1.0,1,0.37799954686
17,1.0,4,0.318697269165
17,1.0,4,0.300661705968
17,1.0,8,0.311588203747
17,1.0,9,0.279919694574
17,1.0,9,0.256312449302
17,1.0,9,0.255695844916
17,1.0,9,0.225560211594
17,1.0,10,0.223238041985
17,1.0,10,0.228571404655
17,1.0,11,0.219093940301
17,1.0,45,0.163225535763
17,1.0,46,0.137949182635
17,1.0,46,0.130909910992
17,1.0,50,0.131655961993
17,1.0,129,0.117061875493
18,1.0,0,0.986974737193
18,1.0,0,0.931205808709
18,1.0,0,0.745909463043
18,1.0,0,0.456139712148
18,1.0,0,0.356234975614
18,1.0,0,0.339164732443
18,1.0,0,0.195067356354
18,1.0,1,0.151030665498
18,1.0,1,0.0728997929554
19,1.0,0,0.862704771799
19,1.0,0,0.564793084651
19,1.0,0,0.312005336903
19,1.0,0,0.254283663123
19,1.0,0,0.224616614637
19,1.0,1,0.238187551129
19,1.0,1,0.237953057772
19,1.0,1,0.120815321953
19,1.0,5,0.113490414209
20,1.0,0,0.695884373447
20,1.0,0,0.669014711519
20,1.0,0,0.555096113202
20,1.0,0,0.257837130471
20,1.0,0,0.283334995933
20,1.0,0,0.22200334391
20,1.0,0,0.185833850602
20,1.0,0,0.175620333057
20,1.0,1,0.190077320427
20,1.0,1,0.185333527722
20,1.0,1,0.152979278679
20,1.0,2,0.118279297741
20,1.0,2,0.103467509873
20,1.0,2,0.0939720855799
20,1.0,2,0.0484008653113
20,1.0,4,0.048855861682
20,1.0,4,0.013535035157
21,1.0,0,0.914234745484
21,1.0,0,0.627652217417
21,1.0,0,0.40929146152
21,1.0,0,0.308503767043
21,1.0,0,0.0578331247852
21,1.0,0,0.0502043504041
