matrix_name,clones,time,accuracy
0,0.4,13,0.993546706663
0,0.4,13,0.987549071208
0,0.4,16,0.855754971674
0,0.8,39,0.994041301819
0,0.8,39,0.989010615215
0,0.6,30,0.994041301819
0,0.6,31,0.989194980111
0,0.6,37,0.900391173742
0,0.8,51,0.760493342186
0,0.4,38,0.8075943703
0,0.4,63,0.710998297603
0,1.0,94,0.994041301819
0,1.0,94,0.987549071208
0,1.0,111,0.866824567598
0,0.4,91,0.745910472603
0,0.6,122,0.875350981922
0,1.0,145,0.852199628506
0,0.4,145,0.651049966629
0,0.6,200,0.794794931303
0,0.6,200,0.626160047627
0,0.4,200,0.544831633509
0,0.4,201,0.543111434479
0,0.4,222,0.514534939508
0,0.4,223,0.48810049618
0,0.4,230,0.524044160451
0,0.4,241,0.429222093383
0,0.6,256,0.531307516111
0,0.4,255,0.421267776611
0,0.4,256,0.380269163517
0,0.6,340,0.457678359917
0,0.6,346,0.389469441209
0,0.6,395,0.35059764853
0,0.6,451,0.325116217
0,0.6,456,0.277332316489
0,0.6,456,0.275497684304
0,0.4,514,0.333408944767
0,0.4,514,0.296330010898
0,0.4,627,0.324486079595
0,0.4,627,0.315547334088
0,0.4,627,0.323029023907
0,0.4,627,0.312247809338
0,0.4,881,0.2797120084
0,0.4,881,0.281000540085
0,0.4,881,0.324222119659
0,0.4,881,0.312055839224
0,0.4,994,0.312545524105
0,0.6,1047,0.246303242793
0,0.6,1047,0.266920424943
0,0.6,1047,0.283964152101
0,0.6,1047,0.2815863535
0,0.6,1047,0.287125609257
0,0.6,1414,0.272761680839
0,0.6,1831,0.260270429524
0,0.6,2143,0.238012293102
0,0.6,2143,0.246522811646
0,0.6,2143,0.252714796545
0,0.6,2143,0.244785279218
0,0.6,2411,0.239260352062
0,0.6,2411,0.244165745326
0,0.6,2411,0.252185511971
0,0.4,2582,0.26216854909
0,0.6,2700,0.244971805252
0,0.4,3992,0.241458651565
0,0.4,3992,0.214696926512
0,0.4,5010,0.207965582726
0,0.4,5224,0.21105236886
0,0.4,5741,0.21205374651
0,0.4,6483,0.189399339967
0,0.4,8078,0.176890203451
0,0.4,8078,0.191016382851
0,0.6,9657,0.20348833962
0,0.6,9657,0.190191409463
0,1.0,10386,0.539807677858
0,0.6,10710,0.188361586383
0,0.6,13091,0.202196142404
0,1.0,13198,0.531075713749
0,1.0,13214,0.541378847304
0,1.0,13240,0.492604062736
0,1.0,13240,0.475594173908
0,1.0,13353,0.402814241166
0,1.0,13353,0.396819889526
0,1.0,14340,0.365697629489
0,1.0,14340,0.401530384449
0,1.0,14340,0.398273278843
0,0.8,15455,0.628570819755
0,0.4,16395,0.187542974519
0,0.8,17263,0.612214830685
0,0.8,17263,0.46258704843
0,0.8,17267,0.49286225552
0,0.8,17267,0.427256423577
0,0.8,17341,0.37836267234
0,0.8,17439,0.351623965935
0,0.8,17439,0.385623972338
0,0.8,19077,0.329316419195
0,0.8,19077,0.320041372214
0,0.8,19077,0.278995197516
0,0.8,19077,0.295054230726
0,0.8,19077,0.279389956037
0,0.8,19077,0.291889164026
0,0.8,19077,0.281060954486
0,0.8,19077,0.273811825411
0,0.8,19077,0.269276438468
0,0.8,19077,0.27506139794
0,0.8,19077,0.275392324624
0,0.8,19077,0.262673781024
0,0.8,19077,0.265063207346
0,1.0,19919,0.395016008234
0,1.0,19919,0.324899049302
0,1.0,19919,0.307886567489
0,1.0,19919,0.289958143255
0,1.0,19919,0.331038264843
0,1.0,19919,0.310247080469
0,1.0,19919,0.290973428015
0,1.0,19919,0.289912314557
0,1.0,19919,0.291161073558
0,1.0,19919,0.286536532763
0,1.0,19919,0.288082507739
0,1.0,19919,0.279152013199
0,1.0,19919,0.282911961243
0,0.8,20104,0.26520730884
0,0.8,20104,0.238542290801
0,0.8,20104,0.241492165413
0,0.8,20104,0.203553616293
0,0.8,20104,0.17632128786
0,0.8,20104,0.166289070261
0,0.8,20104,0.160338084004
0,0.8,20104,0.158661954579
0,0.8,20104,0.164895487025
0,0.8,20104,0.170661577511
0,0.8,20104,0.158866626507
0,0.8,21600,0.171284694651
0,0.8,21600,0.150573472256
0,0.4,21600,0.190318662403
1,0.6,10,0.92776721976
1,0.6,10,0.85873751035
1,0.6,10,0.856103332762
1,0.6,12,0.839874061002
1,0.6,14,0.814491308991
1,0.4,7,0.930198478485
1,0.4,7,0.865731118196
1,0.8,25,0.874670094518
1,0.8,25,0.872084043501
1,0.8,25,0.868458332202
1,0.4,8,0.658029987231
1,0.4,10,0.629339693855
1,1.0,34,0.93389555214
1,1.0,35,0.802690258522
1,0.8,29,0.846603026953
1,1.0,39,0.821660185294
1,1.0,42,0.77818629569
1,1.0,42,0.754983087414
1,1.0,46,0.736020853004
1,0.4,25,0.608852457744
1,0.6,34,0.612890223403
1,0.6,34,0.423233014338
1,0.4,47,0.566136758279
1,0.8,65,0.484166817808
1,0.8,65,0.313207878196
1,0.4,48,0.443656359568
1,0.4,60,0.469632654781
1,0.4,60,0.403987816651
1,0.4,73,0.372962937043
1,0.4,76,0.349950856616
1,0.4,82,0.253834315383
1,0.6,91,0.461745920503
1,0.8,129,0.271941134787
1,1.0,142,0.613205886173
1,0.4,139,0.182187135834
1,0.4,167,0.187194315355
1,0.6,176,0.420004382477
1,0.8,186,0.325842859374
1,0.6,199,0.326192895443
1,0.6,200,0.330465804016
1,0.4,192,0.191584230081
1,0.4,192,0.218490165219
1,0.4,192,0.238411005508
1,0.6,204,0.296753324439
1,0.6,208,0.131673922324
1,0.4,210,0.233691367243
1,0.4,210,0.228469030356
1,1.0,244,0.438181547789
1,0.4,299,0.166157169609
1,0.4,299,0.104928112781
1,0.8,385,0.352173348869
1,1.0,421,0.438245791233
1,1.0,426,0.235174014878
1,0.6,416,0.136032898903
1,0.6,416,0.134023430909
1,0.6,416,0.118172238063
1,0.6,416,0.115670596604
1,0.6,416,0.11500307164
1,0.6,416,0.101347443272
1,0.6,416,0.0840499398536
1,0.6,416,0.050017659258
1,0.8,440,0.205640755661
1,0.8,451,0.123081210734
1,0.8,454,0.0980424903814
1,0.6,451,0.0474720986519
1,0.6,451,0.047241709989
1,0.6,451,0.0471830555358
1,0.4,469,0.0807460581308
1,0.6,586,0.0464583553137
1,0.8,738,0.0896526220534
1,0.8,738,0.0623120361161
1,0.8,738,0.0447960300141
1,0.4,795,0.0876685600976
1,0.4,848,0.0706074584966
1,1.0,951,0.2379679593
1,1.0,951,0.237659975073
1,1.0,951,0.201712798368
1,1.0,951,0.201404365765
1,1.0,1053,0.199185841828
1,1.0,1053,0.197621749819
1,1.0,1053,0.201314713271
1,1.0,1053,0.185729316694
1,0.4,1051,0.0596682407626
1,0.4,1067,0.0509995152265
1,0.4,1085,0.0581803151938
1,1.0,1138,0.204663848802
1,1.0,1138,0.204147520301
1,1.0,1138,0.201959960276
1,0.6,1282,0.0458748377238
1,0.6,1326,0.0383880880823
1,0.4,1323,1.29501886137e-16
2,0.4,7,0.882086375036
2,0.4,7,0.663033660398
2,0.4,8,0.717924836992
2,0.4,18,0.428371673777
2,0.4,29,0.493508452879
2,0.4,49,0.380399239707
1,0.6,1401,0.0380864557788
2,0.4,66,0.315462554713
2,0.4,66,0.297430136245
2,0.4,66,0.244302584111
2,0.4,68,0.235602257194
2,0.4,76,0.247956589703
2,0.4,77,0.255730687951
2,0.4,80,0.216066121568
2,0.4,85,0.174825654077
2,0.4,85,0.158861189133
2,0.4,209,0.141681368756
2,0.4,243,0.129132074195
2,0.4,266,0.154326969464
2,0.4,309,0.0646332156979
2,0.4,309,0.0342201106548
2,0.4,464,0.0145133303236
2,0.4,479,8.38840346639e-17
3,0.4,3,0.794347875568
3,0.4,4,0.771377036817
3,0.4,5,0.773664442097
3,0.4,6,0.662632688727
3,0.4,6,0.65570004582
3,0.4,47,0.530977003892
3,0.4,48,0.418416276135
3,0.4,61,0.398541450729
3,0.4,73,0.42397622237
3,0.4,76,0.42001240687
3,0.4,76,0.278795118474
3,0.4,81,0.23242519226
1,0.6,1935,0.0260613706248
1,0.6,1935,0.0029777556851
3,0.4,117,0.35361088956
3,0.4,190,0.144755601378
3,0.4,190,0.143223539766
3,0.4,190,0.122442054718
1,0.6,2066,3.96411875693e-16
2,0.6,12,0.772569144871
2,0.6,12,0.470537653471
2,0.6,14,0.394668468829
3,0.4,287,0.151659470857
3,0.4,287,0.131175804924
3,0.4,312,0.130700703095
3,0.4,351,0.0949193480719
2,0.6,116,0.354968565001
2,0.6,144,0.345303524123
3,0.4,398,0.0763376762332
2,0.6,146,0.312890973849
2,0.6,148,0.352781116455
3,0.4,412,0.0577200826358
2,0.6,171,0.290569429242
2,0.6,171,0.261201540107
2,0.6,182,0.228237988729
2,0.6,192,0.260374825896
2,0.6,193,0.262291966879
2,0.6,193,0.262540286309
2,0.6,208,0.268327461494
2,0.6,208,0.226730486521
3,0.4,462,1.34587855342e-16
2,0.6,210,0.163156860595
2,0.6,216,0.170157036415
2,0.6,216,0.0187526942252
2,0.6,218,0.0139130222567
4,0.4,13,0.747604071193
4,0.4,16,0.744877424905
4,0.4,20,0.745933655383
4,0.4,78,0.710092918298
2,0.6,305,0.00921649443909
2,0.6,305,1.14483361556e-16
3,0.6,5,0.823088361509
4,0.4,104,0.415237325579
3,0.6,7,0.655120759415
3,0.6,9,0.619626090321
4,0.4,120,0.376001536336
4,0.4,121,0.372639335828
4,0.4,124,0.371867815408
4,0.4,127,0.379352613297
4,0.4,131,0.301134475095
4,0.4,136,0.335474916545
4,0.4,137,0.275551496922
3,0.6,53,0.386511307823
4,0.4,207,0.303942156472
4,0.4,207,0.291651769463
4,0.4,207,0.273810795522
4,0.4,207,0.272826255819
3,0.6,154,0.37257949363
3,0.6,157,0.209782361142
3,0.6,161,0.209996507312
3,0.6,165,0.200271746777
3,0.6,166,0.151351382145
3,0.6,167,0.137082711893
3,0.6,176,0.151218916314
4,0.4,355,0.257969550168
4,0.4,355,0.240284663988
4,0.4,355,0.242316395687
4,0.4,355,0.235063296172
3,0.6,283,0.0978967662014
4,0.4,429,0.233884161406
3,0.6,340,0.10162022531
3,0.6,367,0.0994846861714
3,0.6,367,0.121438457417
3,0.6,367,0.0995906845473
3,0.6,423,0.120328829869
3,0.6,423,0.118409633499
4,0.4,528,0.209707010487
4,0.4,528,0.216942367797
4,0.4,528,0.209919890337
3,0.6,665,0.0904102251003
3,0.6,665,0.0623212022466
3,0.6,925,0.0549198584608
3,0.6,925,0.0437019977371
3,0.6,1055,0.0383742119601
3,0.6,1139,0.0361197360393
3,0.6,1169,0.0305405834911
3,0.6,1242,0.0211057000457
3,0.6,1323,0.0149058988319
3,0.6,1332,0.0103972121894
3,0.6,1344,0.00766244666977
3,0.6,1357,1.85026370259e-16
4,0.6,16,0.889995264869
4,0.6,16,0.887032094492
4,0.6,21,0.859144609749
4,0.6,56,0.496778396966
4,0.6,93,0.454700553729
4,0.6,225,0.357168131819
4,0.6,228,0.3340624751
4,0.6,279,0.392764738534
4,0.6,283,0.303666814114
4,0.6,289,0.266218375927
4,0.6,310,0.262019615518
4,0.6,348,0.296776114894
4,0.6,539,0.226626335772
4,0.6,539,0.228638669098
4,0.6,539,0.228123526816
4,0.6,539,0.227868202239
4,0.6,539,0.222559947644
4,0.6,539,0.194514578238
4,0.6,539,0.185517141283
4,0.6,539,0.165500167973
4,0.6,612,0.156934084883
4,0.6,842,0.160993521991
4,0.6,2043,0.155869687382
4,0.4,3750,0.135798752236
4,0.6,2405,0.156988516015
4,0.6,2405,0.157979269277
1,0.8,6444,3.38356734621e-16
2,0.8,26,0.756977213296
2,0.8,26,0.607948434615
2,0.8,33,0.592535211717
2,0.8,65,0.468570793716
4,0.4,4282,0.143005498675
1,1.0,6692,0.205131699109
1,1.0,6692,0.200651550419
1,1.0,6692,0.199857030801
1,1.0,6692,0.103336750669
1,1.0,6692,0.10290434376
1,1.0,6692,0.0917014792123
1,1.0,6692,0.0892864636244
1,1.0,6692,0.0886704463697
1,1.0,6692,0.0868423037119
1,1.0,6692,0.0868422505875
1,1.0,6692,0.0867093379878
1,1.0,6692,0.0812019381603
1,1.0,6692,0.105961952345
1,1.0,6692,0.071273408252
2,0.8,1182,0.483143756685
4,0.4,5419,0.137657666098
4,0.4,5685,0.134353747279
4,0.4,5937,0.11892086129
4,0.4,6503,0.119565683995
4,0.4,7788,0.133764996366
4,0.4,8485,0.117403136968
4,0.4,8827,0.114661121558
2,0.8,4976,0.326821514046
4,0.6,8194,0.147100894537
4,0.6,8194,0.138855981138
1,1.0,12273,0.0672591446022
4,0.6,8912,0.111185363416
4,0.6,8912,0.127386822994
4,0.6,8912,0.106890628806
2,0.8,6273,0.297852062626
2,0.8,6273,0.267857950217
2,0.8,6285,0.220085660633
2,0.8,6288,0.209387414554
2,0.8,6291,0.160912949601
2,0.8,6291,0.146962544089
4,0.6,9228,0.11121951834
2,0.8,6561,0.144232350214
2,0.8,6708,0.104022976292
2,0.8,6708,0.0722222833677
2,0.8,6708,0.0442028844561
2,0.8,7066,0.0401110045136
2,0.8,7066,0.0353693811684
2,0.8,7066,0.03640100996
2,0.8,7066,0.0188884834259
2,0.8,7066,0.00826306397987
4,0.6,9807,0.104564128497
4,0.4,11311,0.106539405737
2,0.8,7166,8.83460590767e-17
3,0.8,18,0.903430176835
3,0.8,21,0.738901576938
3,0.8,52,0.276890748891
3,0.8,209,0.355196963081
4,0.6,10113,0.0792584592496
3,0.8,305,0.314817949456
3,0.8,344,0.357056746929
3,0.8,348,0.334620985343
3,0.8,349,0.213753849429
3,0.8,358,0.139370122553
3,0.8,362,0.166804825669
3,0.8,366,0.157475614568
3,0.8,650,0.114200493501
4,0.6,11380,0.0769266840952
4,0.6,11380,0.0716578957145
3,0.8,1535,0.116541761378
3,0.8,1895,0.0638051143157
3,0.8,2095,0.0570010497043
3,0.8,2095,0.0435345585811
3,0.8,2095,0.042942833429
