name,Phylogeny model,k,Accuracy
0,Perfect,1.0,0.199934101267
0,Persistent,1.0,0.236076498203
0,Dollo(2),1.0,0.987549071208
0,Dollo(4),1.0,0.897453246097
1,Perfect,1.0,0.0632052658322
1,Persistent,1.0,0.574407911005
1,Dollo(2),1.0,0.201404365765
1,Dollo(4),1.0,0.501110403284
2,Perfect,1.0,0.618133968666
2,Persistent,1.0,0.0139844046794
2,Dollo(2),1.0,0.610159713663
2,Dollo(4),1.0,0.58854329448
3,Perfect,1.0,0.108393023875
3,Persistent,1.0,0.281723353226
3,Dollo(2),1.0,0.384337981449
3,Dollo(4),1.0,0.699539858969
4,Perfect,1.0,0.237091987249
4,Persistent,1.0,0.643346417664
4,Dollo(2),1.0,0.490159557764
4,Dollo(4),1.0,0.651482926234
5,Perfect,1.0,0.0629167470554
5,Persistent,1.0,0.62023665294
5,Dollo(2),1.0,0.232710680045
5,Dollo(4),1.0,6.14558995822e-16
6,Perfect,1.0,0.1273844413
6,Persistent,1.0,0.103254665853
6,Dollo(2),1.0,0.151681019025
6,Dollo(4),1.0,0.756150272027
7,Perfect,1.0,0.164090502836
7,Persistent,1.0,0.0940312046697
7,Dollo(2),1.0,0.268896076317
7,Dollo(4),1.0,0.49991757591
8,Perfect,1.0,0.171320647666
8,Persistent,1.0,0.658770721396
8,Dollo(2),1.0,0.440508909878
8,Dollo(4),1.0,0.731274854558
9,Perfect,1.0,0.440261061705
9,Persistent,1.0,0.58458558641
9,Dollo(2),1.0,0.0754481979107
9,Dollo(4),1.0,0.745225518759
10,Perfect,1.0,0.812925422652
10,Persistent,1.0,0.0982152734814
10,Dollo(2),1.0,0.363511149585
10,Dollo(4),1.0,0.65444558023
11,Perfect,1.0,0.122838291485
11,Persistent,1.0,0.65224267114
11,Dollo(2),1.0,0.0727766070248
11,Dollo(4),1.0,0.535729090587
12,Perfect,1.0,0.233114830885
12,Persistent,1.0,0.81231997128
12,Dollo(2),1.0,0.340816167087
12,Dollo(4),1.0,0.772080489194
13,Perfect,1.0,0.240344839481
13,Persistent,1.0,0.0847908625723
13,Dollo(2),1.0,0.53375988427
13,Dollo(4),1.0,0.77668864451
14,Perfect,1.0,0.601422113009
14,Persistent,1.0,9.78851371102e-16
14,Dollo(2),1.0,0.374964707541
14,Dollo(4),1.0,0.797581272507
15,Perfect,1.0,0.232003912879
15,Persistent,1.0,0.218577429835
15,Dollo(2),1.0,0.524630375125
15,Dollo(4),1.0,0.940246261658
