matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
0,12,25,0.6,15,0,350,3.53883589099e-16,3.38195471662e-17
0,12,25,0.4,10,0,483,9.88792381307e-16,6.77837151824e-17
0,12,25,1.0,15,0,2330,8.36830604811e-15,1.02157846251e-15
0,12,25,0.8,14,0,2442,1.65145674913e-15,2.62283875294e-16
1,12,25,0.6,15,0,7200,0.2748,0.0557115237956
1,12,25,0.4,10,0,7200,0.3804,0.0457073823123
1,12,25,1.0,13,0,7200,0.1452,0.035587723119
1,12,25,0.8,15,0,7200,0.1559,0.0400443686137
2,12,25,0.6,10,0,7200,0.7766,0.0715718186824
2,12,25,0.4,10,0,7200,0.1274,0.0146479356183
2,12,25,1.0,14,0,7200,1.4489,0.0920989257683
2,12,25,0.8,11,0,7200,1.0054,0.0724588512299
3,12,25,0.6,15,0,7200,4.5621,0.117727128827
3,12,25,0.4,10,0,7200,4.5844,0.124208619418
3,12,25,1.0,19,0,7200,4.3156,0.121411676723
3,12,25,0.8,18,0,7200,3.658,0.113840967326
4,12,25,0.6,13,0,7200,0.023,0.00466359040957
4,12,25,0.4,10,0,7200,0.023,0.00466359040957
4,12,25,1.0,18,0,7200,0.023,0.00466359040957
4,12,25,0.8,13,0,7200,0.023,0.00466359040957
5,12,25,0.6,14,0,7200,0.7699,0.105065479887
5,12,25,0.4,10,0,7200,1.4941,0.121319782379
5,12,25,1.0,14,0,7200,1.0671,0.140032025785
5,12,25,0.8,14,0,7200,1.0194,0.121541353792
6,12,25,0.6,13,0,3368,1.27328703137e-15,7.30669321152e-17
6,12,25,0.8,18,0,3101,5.54764567617e-15,4.19073760983e-16
6,12,25,0.4,10,0,7200,1.2485,0.0963378809011
6,12,25,1.0,13,0,7200,1.4891,0.101109716411
7,12,25,0.6,14,0,7200,0.1242,0.0322689907198
7,12,25,0.8,19,0,7200,0.1461,0.0327668004424
7,12,25,0.4,10,0,7200,0.7438,0.0609992004348
7,12,25,1.0,17,0,7200,0.1461,0.0327668004424
8,12,25,0.6,15,0,7200,0.8108,0.0429750790961
9,12,25,0.6,12,0,1585,2.87270207622e-15,2.10190180741e-16
8,12,25,0.8,19,0,7200,0.6035,0.0520945137221
9,12,25,0.8,13,0,1895,7.84095011142e-16,4.4542876652e-17
8,12,25,0.4,10,0,7200,2.2523,0.0789679462697
8,12,25,1.0,25,0,7200,0.6751,0.0511323986166
9,12,25,0.4,10,0,1929,3.66026653431e-15,1.70649164243e-16
9,12,25,1.0,15,0,7200,0.2314,0.0323498369724
