matrix_name,num_samples,num_mutations,mut_mod,clone_used,k_persistent,time,total_error,accuracy
29,5,10,0.4,4,2,63,1.2117,0.20232221614
22,5,10,0.8,8,2,300,0.9129,0.1429682969
23,5,10,1.0,10,2,300,0.5463,0.0530213901195
23,5,10,0.6,6,2,157,0.9038,0.0619118573407
23,5,10,0.8,8,2,300,0.6477,0.0537522622477
24,5,10,0.6,6,2,207,0.8731,0.118975877032
24,5,10,1.0,10,2,300,0.2082,0.0584283306561
24,5,10,0.8,8,2,300,0.4426,0.0815724762137
25,5,10,0.6,6,2,300,1.3944,0.176719694207
25,5,10,1.0,10,2,300,0.7681,0.12963948307
25,5,10,0.8,8,2,300,0.8216,0.126369448492
26,5,10,0.6,6,2,300,1.11,0.0862384775816
26,5,10,1.0,10,2,300,0.691,0.0594760202149
26,5,10,0.8,8,2,300,0.8097,0.0645160980976
27,5,10,0.6,6,2,300,1.6591,0.27184926906
27,5,10,1.0,10,2,300,0.9862,0.222850055189
27,5,10,0.8,8,2,300,1.2236,0.248659686005
28,5,10,0.6,6,2,300,2.0262,0.198262288935
28,5,10,1.0,10,2,300,1.2137,0.137148663509
28,5,10,0.8,8,2,300,1.5982,0.15376170366
29,5,10,0.6,6,2,300,0.6504,0.134294866505
29,5,10,1.0,10,2,300,0.2027,0.0435012452989
29,5,10,0.8,8,2,300,0.3244,0.0544020080464
30,5,10,0.4,4,2,50,2.2877,0.267537586221
30,5,10,1.0,10,2,300,1.0717,0.180753624938
30,5,10,0.8,8,2,300,1.124,0.158229491829
30,5,10,0.6,6,2,300,1.611,0.21587509675
31,5,10,0.4,4,2,300,1.773,0.313308737743
31,5,10,1.0,10,2,300,0.6859,0.145710828444
31,5,10,0.8,8,2,300,0.6611,0.134264683307
31,5,10,0.6,6,2,300,1.0909,0.185095015162
32,5,10,0.4,4,2,40,0.8951,0.0633190218182
32,5,10,1.0,9,2,300,0.1034,0.015025434835
32,5,10,0.8,8,2,201,0.1034,0.015025434835
32,5,10,0.6,6,2,201,0.3201,0.0343462115569
33,5,10,0.4,4,2,216,1.5986,0.175900276954
33,5,10,1.0,10,2,300,0.3315,0.0594568712477
33,5,10,0.8,8,2,300,0.6581,0.0915149252656
33,5,10,0.6,6,2,300,1.0295,0.125169158668
34,5,10,0.4,4,2,248,1.9091,0.147122280296
34,5,10,1.0,10,2,300,1.0836,0.115683799735
35,5,10,0.4,4,2,134,2.1718,0.200003083593
34,5,10,0.8,8,2,300,1.1662,0.11872881666
34,5,10,0.6,6,2,300,1.4337,0.131430338565
36,5,10,0.4,4,2,194,1.8911,0.202040220402
35,5,10,1.0,10,2,300,0.5382,0.0817047384781
35,5,10,0.8,8,2,300,0.9126,0.12018879231
35,5,10,0.6,6,2,300,1.2348,0.147286147209
37,5,10,0.4,4,2,28,1.5361,0.119319738727
36,5,10,1.0,9,2,300,0.9706,0.167932736653
36,5,10,0.8,8,2,300,0.9501,0.158400036999
38,5,10,0.4,4,2,121,1.1606,0.102450605197
36,5,10,0.6,6,2,300,1.2505,0.170628178891
39,5,10,0.4,4,2,149,2.5483,0.234553920853
37,5,10,1.0,10,2,300,0.2046,0.0377879011805
37,5,10,0.8,8,2,300,0.4409,0.0559525672724
37,5,10,0.6,6,2,250,0.6507,0.0647704427915
38,5,10,1.0,10,2,300,0.2977,0.0463521091305
40,5,10,0.4,4,2,252,2.3347,0.212125139834
38,5,10,0.8,8,2,300,0.4043,0.0526853115834
38,5,10,0.6,6,2,300,0.7171,0.0777857744658
41,5,10,0.4,4,2,71,1.3188,0.130818028774
39,5,10,1.0,10,2,300,1.3111,0.176417686932
42,5,10,0.4,4,2,25,1.6624,0.124840042845
39,5,10,0.8,8,2,300,1.3202,0.166576688102
39,5,10,0.6,6,2,300,1.6538,0.180005047556
40,5,10,1.0,10,2,300,1.6917,0.18698123311
43,5,10,0.4,4,2,291,2.022,0.258296397895
40,5,10,0.8,8,2,300,1.3985,0.145394915861
40,5,10,0.6,6,2,300,1.8718,0.192736672119
44,5,10,0.4,4,2,74,2.7708,0.201531031931
41,5,10,1.0,10,2,300,0.2878,0.0537104668462
41,5,10,0.8,8,2,300,0.4459,0.0621908571958
41,5,10,0.6,6,2,300,0.7917,0.0948413727758
45,5,10,0.4,4,2,84,1.4757,0.128238318954
42,5,10,1.0,10,2,300,0.6188,0.070775498699
42,5,10,0.8,8,2,300,0.7664,0.0762051369225
42,5,10,0.6,6,2,300,1.1704,0.10273889016
46,5,10,0.4,4,2,300,1.534,0.18898197487
43,5,10,1.0,10,2,300,0.4184,0.0794163031713
47,5,10,0.4,4,2,213,1.2558,0.169156461086
43,5,10,0.8,8,2,300,0.6712,0.118570557281
43,5,10,0.6,6,2,300,1.2468,0.178714664252
48,5,10,0.4,4,2,14,0.9091,0.0745677005099
44,5,10,1.0,10,2,300,1.354,0.13258130009
44,5,10,0.8,8,2,300,1.5942,0.140386970738
44,5,10,0.6,6,2,300,2.0986,0.167598420798
49,5,10,0.4,4,2,140,1.7363,0.137677689349
45,5,10,1.0,10,2,300,0.4906,0.0778840356256
45,5,10,0.8,8,2,300,0.4789,0.0586844584325
45,5,10,0.6,6,2,300,0.9705,0.085652702536
50,5,10,0.4,4,2,300,1.3275,0.134919879985
46,5,10,1.0,10,2,300,0.2454,0.0648608866399
46,5,10,0.8,8,2,300,0.5379,0.107420601777
46,5,10,0.6,6,2,300,0.7304,0.0969056338874
51,5,10,0.4,4,2,298,1.441,0.154651837512
47,5,10,1.0,10,2,300,0.5315,0.0719326439464
47,5,10,0.8,8,2,300,0.73,0.148915468013
47,5,10,0.6,6,2,300,0.9322,0.154963661024
